H2_price,LCOE,real_LCOE,power_rated_fc,power_rated_ele,energy_rated_sto,power_rated_pv,power_rated_wind,status,cost_Q,range_Q
0.0,47.40934620616164,128.38776048323945,1607.0,0.0,105.0,0.0,0.0,OPTIMAL,80.97841427707779,17639.524945175435
0.39473684210526316,72.0805866622234,128.3877604832396,1607.0,0.0,105.0,0.0,0.0,OPTIMAL,80.97841427707779,17639.524945175435
0.7894736842105263,96.75182711828455,128.3877604832393,1607.0,0.0,105.0,0.0,0.0,OPTIMAL,80.97841427707779,17639.524945175435
1.1842105263157894,116.79988049897807,123.80588118106088,1480.9734788373548,0.0,153.13582898347065,614.7861299282303,574.1323434860413,OPTIMAL,51.86201304960608,10688.990235722993
1.5789473684210527,129.73294889972513,125.07062668136044,1477.9671645957635,0.0,133.960628677856,664.4083884058076,863.6072094179004,OPTIMAL,42.06669039091266,8350.69541701794
1.9736842105263157,140.7381757142715,126.74467242189013,1466.734447589931,0.0,147.74382095417863,686.5234845136009,988.6747252866569,OPTIMAL,38.55259450892407,7511.826450716553
2.3684210526315788,150.8403221450681,128.7099091524541,1441.1880484783571,0.0,244.32051684904295,764.5793068950964,1061.0062251690217,OPTIMAL,36.18701467344362,6947.126004873874
2.763157894736842,160.2586395134837,130.67222578542768,1414.7211218558818,0.0,388.15148600730737,836.7625332724323,1110.573386731243,OPTIMAL,34.49360651476873,6542.883320752784
3.1578947368421053,169.0206130015226,134.94835344674615,1359.957652137086,56.53803099441075,774.5996797821173,957.5518630229332,1170.5484647427768,OPTIMAL,31.699809147305274,5875.96073571126
3.5526315789473686,176.64743770390749,141.34648656875848,1328.6604747449794,211.99672145051943,1038.4990159551032,1063.9057324143293,1261.2933671663018,OPTIMAL,28.21913332006316,5045.069652689213
3.9473684210526314,183.1725936425622,148.96704851657807,1301.9891610288498,350.5006795704565,1473.4636885177283,1245.3259806355372,1337.155003470265,OPTIMAL,24.86091309344038,4243.410613003226
4.342105263157895,188.51587241060773,157.4384220713393,1277.6928941682258,487.7560501662566,1863.8173604349631,1465.534992419986,1416.0098805297016,OPTIMAL,21.61002686526022,3467.3738566431
4.7368421052631575,192.94912311645004,163.58569241757047,1261.6402735557908,590.2548749736695,2119.235788270895,1643.693056512915,1461.3636722962246,OPTIMAL,19.53986441962141,2973.194104818497
5.131578947368421,196.33791098172236,177.2842758601884,1216.3604787971483,752.5305292550631,2873.6782047758156,1953.258909465474,1570.5207989053274,OPTIMAL,15.445720655814805,1995.8587496174919
5.526315789473684,198.26400986596892,191.33046181827845,1183.9504756590204,946.2634119841418,3461.1232126632876,2214.7311150428977,1695.1155139836535,OPTIMAL,11.851256391019788,1137.8046089576899
5.921052631578948,199.01931167440463,206.47536187323053,1156.3366607882158,1144.6356938408344,3959.1971183862643,2423.9166521393913,1817.1314506103408,OPTIMAL,10.53369962828577,823.2834585067153
6.315789473684211,198.69765531905136,227.22238002502937,1141.451087110584,1350.7578623504085,4186.653617772794,2732.2417587242753,1963.2435861480099,OPTIMAL,12.717481395680975,1344.585897416256
6.7105263157894735,196.88867543630826,257.85062205209573,1133.7581651978999,1647.278738373023,4240.014048161276,3059.6343903555417,2224.7155364015066,OPTIMAL,16.691582114241907,2293.265123513602
7.105263157894737,193.07539946854305,312.8086471471559,1134.917987702632,2156.2813175419215,4038.818053423868,3510.8490236153834,2747.088861605666,OPTIMAL,24.34976079056725,4121.390662969561
7.5,186.38803697003513,386.12590576773414,1143.660570891316,2870.798014727092,3646.201163530821,4124.491131841749,3443.7276784138594,OPTIMAL,34.22897698769695,6479.71216513198
